 ,Label,Area,Mean,Min,Max,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,ctrl-og-15000.jpg,10913,255,255,255,0.565,2782815,2782815,1.733,0.577,0.845
2,ctrl-og-15000.jpg,2640,255,255,255,0.577,673200,673200,2.078,0.481,0.908
3,ctrl-og-15000.jpg,3627,255,255,255,0.740,924885,924885,1.310,0.763,0.923
4,ctrl-og-15000.jpg,4288,255,255,255,0.619,1093440,1093440,2.439,0.410,0.915
5,ctrl-og-15000.jpg,2586,255,255,255,0.673,659430,659430,1.242,0.805,0.880
6,ctrl-og-15000.jpg,2478,255,255,255,0.830,631890,631890,1.181,0.847,0.955
7,ctrl-og-15000.jpg,3756,255,255,255,0.573,957780,957780,2.087,0.479,0.897
8,ctrl-og-15000.jpg,5210,255,255,255,0.609,1328550,1328550,1.422,0.703,0.846
9,ctrl-og-15000.jpg,2979,255,255,255,0.608,759645,759645,2.006,0.498,0.916
10,ctrl-og-15000.jpg,7835,255,255,255,0.695,1997925,1997925,1.780,0.562,0.920
11,ctrl-og-15000.jpg,2478,255,255,255,0.693,631890,631890,1.469,0.681,0.885
12,ctrl-og-15000.jpg,4972,255,255,255,0.622,1267860,1267860,1.131,0.884,0.852
13,ctrl-og-15000.jpg,6479,255,255,255,0.575,1652145,1652145,2.038,0.491,0.836
14,ctrl-og-15000.jpg,2618,255,255,255,0.656,667590,667590,1.634,0.612,0.917
15,ctrl-og-15000.jpg,5633,255,255,255,0.718,1436415,1436415,1.610,0.621,0.920
16,ctrl-og-15000.jpg,4891,255,255,255,0.628,1247205,1247205,2.075,0.482,0.921
17,ctrl-og-15000.jpg,1359,255,255,255,0.689,346545,346545,1.536,0.651,0.910
18,ctrl-og-15000.jpg,2884,255,255,255,0.676,735420,735420,1.569,0.637,0.907
19,ctrl-og-15000.jpg,1535,255,255,255,0.762,391425,391425,1.500,0.667,0.940
20,ctrl-og-15000.jpg,2106,255,255,255,0.577,537030,537030,2.351,0.425,0.901
21,ctrl-og-15000.jpg,2410,255,255,255,0.796,614550,614550,1.212,0.825,0.932
22,ctrl-og-15000.jpg,2870,255,255,255,0.592,731850,731850,1.847,0.541,0.898
23,ctrl-og-15000.jpg,2587,255,255,255,0.572,659685,659685,2.107,0.475,0.903
24,ctrl-og-15000.jpg,9520,255,255,255,0.528,2427600,2427600,1.686,0.593,0.845
25,ctrl-og-15000.jpg,2884,255,255,255,0.616,735420,735420,2.009,0.498,0.905
26,ctrl-og-15000.jpg,3432,255,255,255,0.654,875160,875160,1.655,0.604,0.906
