 ,Label,Area,Mean,Min,Max,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,ctrl-og-15000-T.jpg,3821,255,255,255,0.447,974355,974355,1.456,0.687,0.703
2,ctrl-og-15000-T.jpg,4021,255,255,255,0.620,1025355,1025355,1.623,0.616,0.882
3,ctrl-og-15000-T.jpg,6519,255,255,255,0.615,1662345,1662345,1.764,0.567,0.874
4,ctrl-og-15000-T.jpg,5205,255,255,255,0.749,1327275,1327275,1.425,0.702,0.920
5,ctrl-og-15000-T.jpg,2752,255,255,255,0.567,701760,701760,2.425,0.412,0.943
6,ctrl-og-15000-T.jpg,4583,255,255,255,0.651,1168665,1168665,1.466,0.682,0.913
7,ctrl-og-15000-T.jpg,4535,255,255,255,0.714,1156425,1156425,1.163,0.860,0.900
8,ctrl-og-15000-T.jpg,4013,255,255,255,0.636,1023315,1023315,1.832,0.546,0.898
9,ctrl-og-15000-T.jpg,3104,255,255,255,0.761,791520,791520,1.432,0.698,0.927
10,ctrl-og-15000-T.jpg,1908,255,255,255,0.603,486540,486540,1.632,0.613,0.867
11,ctrl-og-15000-T.jpg,7604,255,255,255,0.713,1939020,1939020,1.374,0.728,0.914
12,ctrl-og-15000-T.jpg,2249,255,255,255,0.734,573495,573495,1.468,0.681,0.940
13,ctrl-og-15000-T.jpg,6440,255,255,255,0.711,1642200,1642200,1.099,0.910,0.895
14,ctrl-og-15000-T.jpg,4349,255,255,255,0.818,1108995,1108995,1.124,0.890,0.952
15,ctrl-og-15000-T.jpg,9,255,255,255,0.344,2295,2295,5.619,0.178,0.581
16,ctrl-og-15000-T.jpg,5897,255,255,255,0.631,1503735,1503735,2.077,0.481,0.868
17,ctrl-og-15000-T.jpg,3465,255,255,255,0.608,883575,883575,1.724,0.580,0.878
18,ctrl-og-15000-T.jpg,2283,255,255,255,0.618,582165,582165,1.658,0.603,0.907
19,ctrl-og-15000-T.jpg,3005,255,255,255,0.800,766275,766275,1.489,0.671,0.950
20,ctrl-og-15000-T.jpg,3062,255,255,255,0.759,780810,780810,1.169,0.856,0.948
21,ctrl-og-15000-T.jpg,2161,255,255,255,0.622,551055,551055,1.019,0.981,0.850
22,ctrl-og-15000-T.jpg,2986,255,255,255,0.678,761430,761430,1.079,0.927,0.882
23,ctrl-og-15000-T.jpg,3736,255,255,255,0.588,952680,952680,2.383,0.420,0.926
24,ctrl-og-15000-T.jpg,1894,255,255,255,0.615,482970,482970,1.718,0.582,0.866
25,ctrl-og-15000-T.jpg,5862,255,255,255,0.735,1494810,1494810,1.642,0.609,0.948
26,ctrl-og-15000-T.jpg,11603,255,255,255,0.385,2958765,2958765,1.331,0.751,0.829
27,ctrl-og-15000-T.jpg,2797,255,255,255,0.532,713235,713235,3.026,0.330,0.900
28,ctrl-og-15000-T.jpg,2396,255,255,255,0.603,610980,610980,1.966,0.509,0.881
29,ctrl-og-15000-T.jpg,2121,255,255,255,0.778,540855,540855,1.367,0.731,0.920
30,ctrl-og-15000-T.jpg,2628,255,255,255,0.660,670140,670140,1.148,0.871,0.881
31,ctrl-og-15000-T.jpg,7365,255,255,255,0.725,1878075,1878075,1.053,0.950,0.897
32,ctrl-og-15000-T.jpg,3898,255,255,255,0.798,993990,993990,1.605,0.623,0.956
