 ,Area,Mean,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,4052,255,397.370,0.322,1033260,1033260,1.370,0.730,0.911
2,3658,255,411.370,0.272,932790,932790,1.482,0.675,0.910
3,7368,255,469.453,0.420,1878840,1878840,1.374,0.728,0.946
4,5987,255,524.122,0.274,1526685,1526685,1.407,0.711,0.913
5,5680,255,413.370,0.418,1448400,1448400,1.148,0.871,0.916
6,4855,255,552.406,0.200,1238025,1238025,1.327,0.754,0.894
7,4519,255,467.938,0.259,1152345,1152345,1.584,0.631,0.900
8,2808,255,469.838,0.160,716040,716040,2.086,0.479,0.817
9,5555,255,525.838,0.252,1416525,1416525,1.173,0.852,0.881
10,3888,255,564.891,0.153,991440,991440,1.857,0.539,0.840
11,4938,255,415.754,0.359,1259190,1259190,1.936,0.516,0.923
12,4092,255,447.068,0.257,1043460,1043460,2.267,0.441,0.900
13,2734,255,580.205,0.102,697170,697170,2.121,0.471,0.763
14,4307,255,504.222,0.213,1098285,1098285,1.289,0.776,0.891
15,19,255,34.527,0.200,4845,4845,1.064,0.940,0.500
16,21,255,35.698,0.207,5355,5355,2.402,0.416,0.506
17,79,255,71.983,0.192,20145,20145,1.851,0.540,0.603
18,2550,255,364.742,0.241,650250,650250,1.131,0.884,0.881
19,7014,255,670.330,0.196,1788570,1788570,1.544,0.648,0.912
20,2099,255,571.963,0.081,535245,535245,2.242,0.446,0.753
21,10,255,23.799,0.222,2550,2550,2.996,0.334,0.417
22,29,255,55.841,0.117,7395,7395,1.324,0.755,0.358
23,12,255,22.971,0.286,3060,3060,1.676,0.597,0.453
24,53,255,35.113,0.540,13515,13515,1.197,0.835,0.779
25,4220,255,637.460,0.131,1076100,1076100,1.709,0.585,0.850
26,3559,255,471.394,0.201,907545,907545,1.764,0.567,0.823
27,7526,255,465.453,0.437,1919130,1919130,1.113,0.899,0.944
28,134,255,66.912,0.376,34170,34170,1.250,0.800,0.728
29,2406,255,367.813,0.223,613530,613530,1.512,0.661,0.864
30,3601,255,474.909,0.201,918255,918255,1.900,0.526,0.872
31,41,255,59.740,0.144,10455,10455,1.613,0.620,0.543
32,36,255,35.941,0.350,9180,9180,1.918,0.521,0.610
33,9152,255,868.521,0.152,2333760,2333760,1.684,0.594,0.852
34,265,255,110.610,0.272,67575,67575,3.401,0.294,0.705
35,5876,255,564.406,0.232,1498380,1498380,2.251,0.444,0.895
36,2694,255,781.283,0.055,686970,686970,1.317,0.759,0.707
37,14,255,30.284,0.192,3570,3570,1.755,0.570,0.406
38,52,255,33.799,0.572,13260,13260,2.357,0.424,0.819
39,68,255,99.439,0.086,17340,17340,1.771,0.565,0.433
40,32,255,52.426,0.146,8160,8160,1.144,0.874,0.451
41,25,255,42.527,0.174,6375,6375,3.730,0.268,0.476
42,17,255,30.042,0.237,4335,4335,2.171,0.461,0.523
43,13,255,22.385,0.326,3315,3315,2.066,0.484,0.542
44,19,255,32.284,0.229,4845,4845,1.259,0.794,0.528
45,4581,255,840.337,0.082,1168155,1168155,1.229,0.814,0.801
46,12,255,14.485,0.719,3060,3060,2.327,0.430,0.800
47,34,255,57.841,0.128,8670,8670,1.125,0.889,0.469
48,28,255,40.527,0.214,7140,7140,2.147,0.466,0.487
49,2798,255,645.159,0.084,713490,713490,1.632,0.613,0.773
50,10,255,25.213,0.198,2550,2550,2.489,0.402,0.455
51,15,255,19.556,0.493,3825,3825,1.709,0.585,0.625
52,4155,255,677.401,0.114,1059525,1059525,1.698,0.589,0.799
53,2434,255,559.720,0.098,620670,620670,1.306,0.765,0.789
54,17,255,26.627,0.301,4335,4335,1.542,0.649,0.567
55,12,255,18.971,0.419,3060,3060,2.154,0.464,0.533
56,3116,255,1009.374,0.038,794580,794580,2.027,0.493,0.672
57,13,255,23.213,0.303,3315,3315,1.971,0.507,0.448
58,15,255,31.213,0.193,3825,3825,1.261,0.793,0.455
59,10,255,22.385,0.251,2550,2550,1.698,0.589,0.513
60,2473,255,1241.062,0.020,630615,630615,1.229,0.814,0.621
61,10,255,22.385,0.251,2550,2550,1.994,0.501,0.476
62,11,255,20.971,0.314,2805,2805,1.797,0.557,0.564
63,30,255,51.012,0.145,7650,7650,2.924,0.342,0.392
64,13,255,20.971,0.371,3315,3315,2.009,0.498,0.591
65,15,255,28.042,0.240,3825,3825,3.538,0.283,0.484
66,12,255,20.385,0.363,3060,3060,1.196,0.836,0.600
67,11,255,21.213,0.307,2805,2805,1.605,0.623,0.524
