 ,Area,Mean,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,10187,255,1156.310,0.096,2597685,2597685,2.476,0.404,0.728
2,11311,255,752.514,0.251,2884305,2884305,1.729,0.578,0.843
3,3981,255,448.039,0.249,1015155,1015155,1.521,0.657,0.910
4,4633,255,587.762,0.169,1181415,1181415,1.566,0.639,0.905
5,3847,255,385.470,0.325,980985,980985,1.552,0.644,0.893
6,6418,255,452.382,0.394,1636590,1636590,1.289,0.776,0.942
7,15069,255,1253.163,0.121,3842595,3842595,1.690,0.592,0.742
8,5761,255,1132.435,0.056,1469055,1469055,1.168,0.856,0.890
9,5814,255,412.098,0.430,1482570,1482570,1.345,0.744,0.944
10,5725,255,512.850,0.274,1459875,1459875,1.132,0.884,0.936
11,6878,255,439.654,0.447,1753890,1753890,1.674,0.597,0.946
12,5085,255,411.026,0.378,1296675,1296675,1.528,0.654,0.932
13,6431,255,1566.633,0.033,1639905,1639905,1.610,0.621,0.821
14,2947,255,278.032,0.479,751485,751485,1.241,0.806,0.931
15,6185,255,793.266,0.124,1577175,1577175,1.425,0.702,0.829
16,12,255,24.385,0.254,3060,3060,1.188,0.841,0.500
17,13860,255,760.656,0.301,3534300,3534300,1.623,0.616,0.885
18,5465,255,941.616,0.077,1393575,1393575,1.400,0.714,0.866
19,4257,255,383.470,0.364,1085535,1085535,1.304,0.767,0.930
20,4181,255,338.701,0.458,1066155,1066155,1.437,0.696,0.943
21,13061,255,1107.357,0.134,3330555,3330555,1.735,0.576,0.765
22,4452,255,302.860,0.610,1135260,1135260,1.162,0.860,0.950
23,58,255,37.113,0.529,14790,14790,1.064,0.940,0.835
24,3036,255,276.132,0.500,774180,774180,1.209,0.827,0.937
25,5320,255,370.115,0.488,1356600,1356600,1.164,0.859,0.952
26,4074,255,317.487,0.508,1038870,1038870,1.426,0.701,0.948
27,15536,255,1232.594,0.129,3961680,3961680,2.124,0.471,0.716
28,6441,255,770.940,0.136,1642455,1642455,1.621,0.617,0.826
29,10202,255,1085.156,0.109,2601510,2601510,2.176,0.459,0.855
30,5227,255,303.889,0.711,1332885,1332885,1.147,0.872,0.961
31,4472,255,314.073,0.570,1140360,1140360,1.471,0.680,0.945
32,13,255,24.627,0.269,3315,3315,1.722,0.581,0.491
33,4484,255,393.914,0.363,1143420,1143420,1.461,0.685,0.937
34,11629,255,1003.675,0.145,2965395,2965395,1.670,0.599,0.850
35,8430,255,648.146,0.252,2149650,2149650,2.661,0.376,0.872
36,5428,255,332.316,0.618,1384140,1384140,1.477,0.677,0.958
37,5552,255,355.044,0.553,1415760,1415760,1.159,0.863,0.954
38,4762,255,329.144,0.552,1214310,1214310,1.206,0.829,0.952
39,8662,255,702.029,0.221,2208810,2208810,1.719,0.582,0.830
40,6372,255,386.399,0.536,1624860,1624860,1.287,0.777,0.954
41,2277,255,323.630,0.273,580635,580635,1.220,0.820,0.906
42,1919,255,402.340,0.149,489345,489345,1.135,0.881,0.831
43,3933,255,319.144,0.485,1002915,1002915,1.351,0.740,0.943
44,4881,255,337.872,0.537,1244655,1244655,1.143,0.875,0.953
45,8492,255,1150.979,0.081,2165460,2165460,1.347,0.743,0.893
46,4955,255,348.215,0.514,1263525,1263525,1.085,0.922,0.953
47,4802,255,318.759,0.594,1224510,1224510,1.201,0.833,0.957
48,5055,255,305.161,0.682,1289025,1289025,1.596,0.627,0.961
49,15348,255,1624.206,0.073,3913740,3913740,1.944,0.514,0.722
50,2870,255,448.181,0.180,731850,731850,1.248,0.801,0.855
51,3880,255,293.647,0.565,989400,989400,1.575,0.635,0.937
52,3594,255,293.345,0.525,916470,916470,1.380,0.725,0.930
53,3639,255,314.316,0.463,927945,927945,1.461,0.684,0.931
54,3542,255,304.659,0.480,903210,903210,1.106,0.904,0.945
55,11769,255,765.543,0.252,3001095,3001095,1.878,0.533,0.793
56,3948,255,294.960,0.570,1006740,1006740,1.261,0.793,0.952
57,3848,255,284.818,0.596,981240,981240,1.244,0.804,0.954
58,2732,255,451.352,0.169,696660,696660,1.098,0.911,0.848
59,3654,255,293.203,0.534,931770,931770,1.326,0.754,0.950
60,10585,255,597.193,0.373,2699175,2699175,2.214,0.452,0.857
61,8653,255,493.210,0.447,2206515,2206515,1.837,0.544,0.897
62,2340,255,375.470,0.209,596700,596700,1.603,0.624,0.820
63,3164,255,315.002,0.401,806820,806820,1.407,0.711,0.934
64,5358,255,392.056,0.438,1366290,1366290,1.292,0.774,0.950
65,6634,255,430.541,0.450,1691670,1691670,1.783,0.561,0.951
66,5849,255,589.963,0.211,1491495,1491495,1.716,0.583,0.876
67,5056,255,347.186,0.527,1289280,1289280,1.474,0.678,0.952
68,3363,255,411.169,0.250,857565,857565,1.418,0.705,0.887
