 ,Area,Mean,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,7159,255,933.776,0.103,1825545,1825545,2.116,0.473,0.755
2,4765,255,456.382,0.287,1215075,1215075,1.195,0.837,0.907
3,1437,255,366.014,0.135,366435,366435,1.631,0.613,0.760
4,6421,255,497.151,0.326,1637355,1637355,1.101,0.908,0.928
5,1887,255,311.973,0.244,481185,481185,1.841,0.543,0.853
6,12,255,18.142,0.458,3060,3060,1.702,0.588,0.649
7,4486,255,510.365,0.216,1143930,1143930,1.748,0.572,0.893
8,5391,255,429.654,0.367,1374705,1374705,1.585,0.631,0.931
9,7565,255,510.080,0.365,1929075,1929075,1.281,0.781,0.936
10,5277,255,598.933,0.185,1345635,1345635,1.116,0.896,0.859
11,6746,255,623.217,0.218,1720230,1720230,1.299,0.770,0.915
12,5223,255,529.436,0.234,1331865,1331865,1.645,0.608,0.901
13,4685,255,542.406,0.200,1194675,1194675,1.152,0.868,0.874
14,11,255,13.314,0.780,2805,2805,1.532,0.653,0.733
15,10,255,17.556,0.408,2550,2550,1.620,0.617,0.588
16,6114,255,530.507,0.273,1559070,1559070,1.444,0.692,0.913
17,8450,255,656.087,0.247,2154750,2154750,1.203,0.831,0.933
18,5042,255,674.129,0.139,1285710,1285710,1.256,0.796,0.876
19,6519,255,558.264,0.263,1662345,1662345,1.167,0.857,0.913
20,10360,255,1415.471,0.065,2641800,2641800,2.352,0.425,0.735
21,13,255,22.971,0.310,3315,3315,2.711,0.369,0.510
22,6474,255,599.619,0.226,1650870,1650870,1.293,0.774,0.914
23,27,255,36.042,0.261,6885,6885,1.725,0.580,0.505
24,5952,255,441.897,0.383,1517760,1517760,1.150,0.869,0.932
25,9616,255,1144.026,0.092,2452080,2452080,1.331,0.751,0.861
26,18,255,29.456,0.261,4590,4590,1.902,0.526,0.462
27,4974,255,473.009,0.279,1268370,1268370,1.138,0.879,0.904
28,751,255,430.482,0.051,191505,191505,1.899,0.527,0.549
29,46,255,74.225,0.105,11730,11730,1.395,0.717,0.458
30,11,255,22.385,0.276,2805,2805,1.070,0.935,0.537
31,10,255,19.556,0.329,2550,2550,1.331,0.751,0.465
32,144,255,168.108,0.064,36720,36720,2.307,0.433,0.419
33,67,255,144.451,0.040,17085,17085,1.229,0.813,0.307
34,21,255,33.456,0.236,5355,5355,1.392,0.718,0.472
35,14,255,22.627,0.344,3570,3570,1.460,0.685,0.549
36,15,255,18.971,0.524,3825,3825,1.327,0.754,0.638
37,34,255,52.426,0.155,8670,8670,1.342,0.745,0.412
38,44,255,68.912,0.116,11220,11220,1.345,0.743,0.374
39,327,255,422.198,0.023,83385,83385,1.420,0.704,0.287
40,94,255,139.966,0.060,23970,23970,1.651,0.606,0.399
41,17,255,26.627,0.301,4335,4335,1.129,0.885,0.515
42,30,255,53.841,0.130,7650,7650,1.254,0.798,0.465
43,10,255,16.142,0.482,2550,2550,1.109,0.901,0.588
44,63,255,116.409,0.058,16065,16065,1.336,0.748,0.356
45,11,255,20.142,0.341,2805,2805,3.677,0.272,0.611
46,12,255,25.456,0.233,3060,3060,1.791,0.558,0.522
47,30,255,39.941,0.236,7650,7650,1.063,0.941,0.536
48,24,255,25.456,0.465,6120,6120,1.517,0.659,0.676
49,4426,255,588.975,0.160,1128630,1128630,1.676,0.597,0.872
50,6813,255,457.009,0.410,1737315,1737315,1.169,0.855,0.932
51,21,255,24.385,0.444,5355,5355,1.603,0.624,0.677
52,6753,255,424.198,0.472,1722015,1722015,1.484,0.674,0.952
53,3832,255,338.215,0.421,977160,977160,1.167,0.857,0.934
54,5614,255,362.115,0.538,1431570,1431570,1.110,0.901,0.951
55,5494,255,361.671,0.528,1400970,1400970,1.609,0.622,0.944
