 ,Area,Mean,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,15,255,22.385,0.376,3825,3825,2.427,0.412,0.517
2,14,255,28.042,0.224,3570,3570,1.706,0.586,0.509
3,16,255,28.627,0.245,4080,4080,1.392,0.718,0.457
4,12,255,24.385,0.254,3060,3060,1.645,0.608,0.545
5,17,255,33.456,0.191,4335,4335,1.716,0.583,0.479
6,10,255,21.213,0.279,2550,2550,2.852,0.351,0.435
7,142,255,58.083,0.529,36210,36210,1.389,0.720,0.821
8,25,255,41.941,0.179,6375,6375,1.771,0.565,0.472
9,17,255,24.627,0.352,4335,4335,2.764,0.362,0.576
10,19,255,39.355,0.154,4845,4845,2.959,0.338,0.396
11,10,255,20.971,0.286,2550,2550,2.633,0.380,0.513
12,22,255,30.042,0.306,5610,5610,1.050,0.953,0.518
13,15,255,26.042,0.278,3825,3825,3.159,0.317,0.476
14,124,255,184.250,0.046,31620,31620,1.340,0.746,0.441
15,10,255,20.971,0.286,2550,2550,1.896,0.527,0.488
16,10,255,18.142,0.382,2550,2550,2.188,0.457,0.526
17,10,255,17.314,0.419,2550,2550,1.557,0.642,0.556
18,15,255,24.627,0.311,3825,3825,2.256,0.443,0.536
19,10,255,20.385,0.302,2550,2550,1.797,0.556,0.526
20,10,255,20.142,0.310,2550,2550,3.118,0.321,0.455
21,28,255,53.841,0.121,7140,7140,1.253,0.798,0.339
22,12,255,18.142,0.458,3060,3060,1.767,0.566,0.600
23,16,255,31.456,0.203,4080,4080,2.327,0.430,0.492
24,11,255,20.385,0.333,2805,2805,2.404,0.416,0.431
25,10,255,20.385,0.302,2550,2550,1.683,0.594,0.488
26,17,255,35.113,0.173,4335,4335,1.921,0.521,0.400
27,11,255,18.142,0.420,2805,2805,2.433,0.411,0.629
28,17,255,32.870,0.198,4335,4335,1.937,0.516,0.453
29,11,255,26.627,0.195,2805,2805,2.838,0.352,0.468
30,13,255,23.556,0.294,3315,3315,1.232,0.812,0.448
31,10,255,18.142,0.382,2550,2550,2.385,0.419,0.526
32,11,255,25.456,0.213,2805,2805,3.655,0.274,0.440
33,20,255,32.870,0.233,5100,5100,2.634,0.380,0.449
34,42,255,60.426,0.145,10710,10710,2.242,0.446,0.367
35,12,255,24.385,0.254,3060,3060,2.481,0.403,0.453
36,22,255,40.527,0.168,5610,5610,2.056,0.486,0.419
37,30,255,55.497,0.122,7650,7650,2.093,0.478,0.395
38,19,255,38.184,0.164,4845,4845,2.008,0.498,0.432
