 ,Area,Mean,Perim.,IntDen,RawIntDen
1,48729,255,13305.246,12425895,12425895
2,31,255,56.326,7905,7905
3,19,255,21.799,4845,4845
4,41,255,38.527,10455,10455
5,43537,255,11315.553,11101935,11101935
6,32,255,46.770,8160,8160
7,15,255,18.142,3825,3825
8,41,255,41.941,10455,10455
9,25,255,30.042,6375,6375
10,18,255,31.456,4590,4590
11,21,255,35.941,5355,5355
12,20,255,25.213,5100,5100
13,320,255,238.333,81600,81600
14,19,255,20.971,4845,4845
15,19,255,20.385,4845,4845
16,16,255,20.385,4080,4080
17,16,255,20.385,4080,4080
18,523,255,273.990,133365,133365
19,15,255,33.698,3825,3825
20,58,255,47.941,14790,14790
21,106,255,93.640,27030,27030
22,26,255,32.627,6630,6630
23,23,255,29.213,5865,5865
24,35,255,53.255,8925,8925
25,40,255,41.941,10200,10200
26,17,255,26.627,4335,4335
27,16,255,19.556,4080,4080
28,17,255,36.870,4335,4335
29,1414,255,599.176,360570,360570
30,48,255,39.698,12240,12240
31,25,255,42.184,6375,6375
32,88,255,61.255,22440,22440
33,34,255,46.184,8670,8670
34,18,255,28.627,4590,4590
35,22,255,32.870,5610,5610
36,113,255,113.095,28815,28815
37,17,255,30.627,4335,4335
38,15,255,21.799,3825,3825
39,44,255,42.527,11220,11220
40,29,255,28.627,7395,7395
41,348,255,305.730,88740,88740
42,18,255,26.627,4590,4590
43,16,255,34.527,4080,4080
44,58,255,43.355,14790,14790
45,59,255,55.841,15045,15045
46,403,255,251.505,102765,102765
47,130,255,74.326,33150,33150
48,30,255,51.841,7650,7650
49,22,255,39.113,5610,5610
50,202,255,134.652,51510,51510
51,15,255,17.314,3825,3825
52,28,255,49.012,7140,7140
53,15419,255,4365.593,3931845,3931845
54,153,255,122.167,39015,39015
55,2541,255,771.769,647955,647955
56,72,255,73.154,18360,18360
57,80,255,66.912,20400,20400
58,188,255,168.936,47940,47940
59,46,255,43.355,11730,11730
60,23,255,27.213,5865,5865
61,127,255,100.610,32385,32385
62,16,255,21.799,4080,4080
63,969,255,613.117,247095,247095
