 ,Area,Mean,Perim.,IntDen,RawIntDen
1,10039,21.076,441.904,211584.000,211584.000
2,10705,16.919,445.619,181121.000,181121.000
3,11340,13.873,490.419,157320.000,157320.000
4,13016,14.485,501.058,188540.000,188540.000
5,9844,9.586,549.264,94360.000,94360.000
6,10221,22.049,580.810,225366.000,225366.000
7,33996,8.745,989.272,297310.000,297310.000
8,33650,5.127,974.409,172515.000,172515.000
9,8408,27.870,473.186,234329.000,234329.000
10,7896,7.236,455.845,57134.000,57134.000
11,10764,17.095,505.084,184010.000,184010.000
12,13175,55.909,583.243,736606.000,736606.000
13,8795,12.122,455.168,106615.000,106615.000
14,8241,19.751,448.826,162771.000,162771.000
15,10749,24.145,472.357,259531.000,259531.000
16,10073,25.644,491.029,258315.000,258315.000
17,6422,16.457,367.578,105684.000,105684.000
18,5138,26.971,354.919,138579.000,138579.000
19,11686,17.514,505.191,204669.000,204669.000
20,12966,8.590,1133.422,111380.000,111380.000
21,12298,17.839,591.201,219379.000,219379.000
22,11037,9.348,545.546,103169.000,103169.000
23,10744,9.790,600.929,105189.000,105189.000
24,6084,38.036,421.708,231409.000,231409.000
25,5584,39.999,444.069,223352.000,223352.000
26,6341,19.378,357.865,122874.000,122874.000
27,5590,12.296,372.909,68736.000,68736.000
28,8574,27.426,469.207,235153.000,235153.000
29,8401,23.355,454.200,196204.000,196204.000
30,12405,11.117,507.506,137901.000,137901.000
31,9583,26.903,441.054,257811.000,257811.000
32,7272,30.370,448.269,220850.000,220850.000
33,7615,18.919,506.028,144071.000,144071.000
34,9281,12.223,450.101,113440.000,113440.000
35,9781,11.377,442.219,111281.000,111281.000
36,7250,13.434,429.374,97396.000,97396.000
37,7222,25.825,433.956,186510.000,186510.000
38,12713,10.076,538.115,128090.000,128090.000
39,6961,35.467,450.075,246889.000,246889.000
40,10111,7.146,530.394,72251.000,72251.000
